Rank,Name,Employee Count,Twitter,Potential Partner,Services,Website,LinkedIn,CRN Page
250,Audcomp,25,https://twitter.com/Audcomp,,"Cloud Services, Managed Services, Professional Services, Product Procurement, Green IT, Warranty Services, Virtualization, Networking, LAN/WAN/Wireless Deployment, Consulting, Project Management, and Unified Communications",http://www.audcomp.com/,https://ca.linkedin.com/company/audcomp,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=250
251,Emergent,75,https://twitter.com/Emergent360,,"Value Added Reseller, GSA Schedule Holder, Multiple BPA contract holder, NITACC ECS III Contract Holder, and Open Source Systems Integrator",http://www.emergent360.com/,https://www.linkedin.com/company/emergent-360,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=251
253,Kelser Corporation,50,https://twitter.com/KelserCorp,,"Cybersecurity, Cybersecurity-as-a-Service (CSaaS), Disaster Recovery-as-a-Service (DRaaS), Wireless-as-a-Service (WaaS), Networking-as-a-Service (NaaS), Data Center Modernization, IT Lifecycle Management, Workforce Enablement, Managed Services, Virtualization, and Cloud",http://www.kelsercorp.com/,https://www.linkedin.com/company/kelser-corporation,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=253
255,Trilogy Systems,4,NA,,NA,http://www.trilogysystemsllc.com/,https://www.linkedin.com/company-beta/66344/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=255
256,Ace Computers,83,NA,,"High Perfomance Computing Clusters, Media Servers, HPC Clustsers, Portable Servers, HPC Workstations, Workstations, Forensic Workstations, Ruggedized Clusters, Desktops, Desktops for Schools, and Desktops for Schools",http://www.acecomputers.com/,http://www.linkedin.com/company/ace-computers,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=256
258,Patriot Technologies,51,https://twitter.com/Patriottech,,"InfoSec Professional Services, Data Center Solutions, Custom Hardware Manufacturing & Logistics, Cyber Security Solutions, and End-User Computing",http://www.patriot-tech.com/,http://www.linkedin.com/company/patriot-technologies,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=258
259,TVAR Solutions,23,https://twitter.com/TVARSolutions,,"Cloud Storage, IT Infrastructure, Data Protection, Business Continuity, Information Assurance, and Computing Infrastructure",http://www.tvarsolutions.com/,https://www.linkedin.com/company/tvar-solutions,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=259
263,TeraMach Technologies,60,https://twitter.com/TeraMachCanada,,"Data Centre, Mobility, Security, Applications, Big Data, Solutions, Cloud, Staffing, and Services",http://www.teramach.com/,https://www.linkedin.com/company/366950?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_366950%2Cidx%3A0,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=263
264,Key Information Systems (KeyInfo),88,https://twitter.com/_KeyInfo_,,"Corporate IT infrastructure, Storage solutions, Network management, Server and storage virtualization, High Availability & Disaster Recovery, IT Security, Cloud Computing, and Hybrid Cloud",http://www.keyinfo.com/,http://www.linkedin.com/company/510527?trk=tyah,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=264
266,Northern Micro,41,https://twitter.com/NorthernMicro,,"IT Infrastructure, Converged Infrastructure, Networking, Data Storage, Computing Devices, and Deployment Services",http://www.northernmicro.com/,https://www.linkedin.com/company/northern-micro,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=266
270,Business IT Source,28,https://twitter.com/BusITSource,,NA,http://www.bitsinc.com/,http://www.linkedin.com/company/business-it-source,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=270
274,Razor Technology,49,https://twitter.com/_RazorTech,,"Enterprise Infrastructure, Virtual Infrastructure, Cloud Services, Managed Services, Storage Solutions, Backup/Recovery Solutions, Big Data Solutions, Disaster Recovery, High Performance Technical Computing, Data Security & Network Protection, IT Consulting, IaaS, security, Data Center, and Office 365",http://www.razor-tech.com/,https://www.linkedin.com/company/razor-technology/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=274
277,"Integrated Media Technologies, Inc. (IMT)",61,https://twitter.com/imtglobalinc,,"Systems Integration, IT Services, and Video Collaboration",http://www.imtglobalinc.com/,https://www.linkedin.com/company/integrated-media-technologies/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=277
278,Red Sky Solutions,66,https://twitter.com/redskysol,,"Networking, Networking Hardware, Networking Services, Cloud, Integration, Security, IT, Infrastructure, Risk Assessment, Storage, Virtualization, Cybersecurity, and IT Security",http://www.redskysol.com,https://www.linkedin.com/company/1119370,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=278
281,n2Grate,24,https://twitter.com/n2grate,,"Data Center Integration, Coud Readiness and Implementation Services, Storage, Network and Virtualization Solutions, and Coud Services Resale",http://www.n2grate.com,https://www.linkedin.com/company/n2grate-government-technology-solutions,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=281
282,cStor,51,https://twitter.com/cStorDataCenter,,"Data Center & Storage, Intelligent Video Surveillance, Cloud & Automation, Information Security, Converged Infrastructure, Virtual Desktop Infrastructure, Data Management / Data Protection, Enterprise Mobility, and Virtualization",http://www.cstor.com/,https://www.linkedin.com/company/cstor,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=282
286,Aspire Technology Partners,75,https://twitter.com/AspireTrans4ms,,"Unified Communications & Collaboration, Information Security, Data Center & Virtualization, Mobility & Wireless, Network Infrastructure, and Digital Transformation",http://www.aspiretransforms.com/,https://www.linkedin.com/company/aspire-technology-partners,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=286
288,"High Availability Storage Systems, Inc.",70,https://twitter.com/HAIncorporated,,"Backup and Recovery, Business Continuity, Virtualization and Primary Storage, Security Compliance, Health Checks and Assessments, and Migrations and Installations",http://www.hainc.com/,https://www.linkedin.com/company/high-availability-inc,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=288
291,Clearpath Solutions Group,60,https://twitter.com/ClearpathSG,,"Storage, Server Virtualization, and Desktop Virtualization",http://www.clearpathsg.com/,https://www.linkedin.com/company/clearpath-solutions-group,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=291
292,Sehi Computer Products,39,https://twitter.com/Sehi_Computer,,"Hardware/Software Procurement, Field Engineering, Educational Contract Pricing, and Technology Integration",http://www.sehi.com/,http://linkedin.com/company/sehi-computer-products,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=292
295,PEAK Resources,86,https://twitter.com/PEAK_Resources,,"IT Consulting and Services, IT Optimization, Cloud-based Solutions, Logistical Support, and Networking Solutions",http://www.peakresources.com/,http://www.linkedin.com/company/peak-resources,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=295
297,Sword & Shield Enterprise Security,86,https://twitter.com/SwordShieldSec,,"Vulnerability Assessment and Penetration Testing, Risk Assessments, Managed Security Service, PCI DSS Compliance Assessments, Incident Response, E-Discovery Consulting, Expert Training, HIPAA Compliance, Computer Forensics, and Application Security Assessments",http://www.swordshield.com/,https://www.linkedin.com/company/235839,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=297
298,Attronica Computers,44,NA,,NA,http://www.attronica.com/,https://www.linkedin.com/company/attronica/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=298
301,Axispoint,61,https://twitter.com/axispoint,,"Custom Application Development, Technology Consulting, Enterprise Development, Mobile Application Development, Cloud Solutions, Web Development, and Media Asset Management",http://www.axispoint.com,https://www.linkedin.com/company/axispoint/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=301
304,Quest Solution,76,https://twitter.com/QuestSolution94,,"Mobile Computing, Application Software, Integration, and Barcode, RFID and Wireless Technologies",http://www.questsolution.com/,https://www.linkedin.com/company/106725?trk=tyah&trkInfo=idx%3A2-1-7%2CtarId%3A1424373149325%2Ctas%3Aquest+solution,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=304
305,Derive Technologies,68,https://twitter.com/DeriveTech%20&%20@%20DeriveHealth,,"Cloud Computing, Hyperconverged and Composable Infrastructure, Virtualization, Enterprise Software, Networking, Security and Cyberdefense, End User Devices, Storage and Backup, Healthcare Technology, Government, Financial Services, Professional Services, Hybrid IT, and Configuration and Staging Services",http://www.derivetech.com/,https://www.linkedin.com/company-beta/51563/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=305
306,Melillo Consulting,95,https://twitter.com/MelilloConsltng,,"Inftastructure & Digital Transformation, IT Operations Management, Disaster Recovery, Software Defined Data Center, Project & Portfolio Management, Mobility & Security, Storage & Data Protection, Big Data Analytics, Operational Intelligence, and HP Software Support",http://www.melillo.com/,http://www.linkedin.com/company/melillo-consulting,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=306
310,BCM One,89,https://twitter.com/bcm_one,,"Telecom Expense Optimization, Microsoft Gold Partner -- MS Office 365, Cloud Solutions, SD WAN, Unified Communications, Managed Services, Microsoft Office 365 Deployments, Network Monitoring & Management, MPLS, Cloud Optimization, Skype for Business Deployments, and Cloud Optimization",http://www.bcmone.com/,http://www.linkedin.com/company/business-communications-management?trk=extra_biz_viewers_viewed,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=310
313,Siwel Consulting,93,https://twitter.com/siwelconsulting,,"Virtualization, Storage, Software Asset Management, IT Staffing Services, IT Asset Management, Data Management, IT Consulting, Software Audits, Software License Audits, IT Help Desk Agent Staffing, IT Help Desk Agent Management, and IT Staff Augmentation",http://www.siwel.com/,https://www.linkedin.com/company/siwel-consulting,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=313
317,Ednetics,97,NA,,NA,http://www.ednetics.com,https://www.linkedin.com/company/136165/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=317
318,Virtual Graffiti,46,https://twitter.com/virtualgraffiti,,"Network Security, Email Security, Authentication, Endpoint Security, Power & Cooling, Network Management, Vulnerability Management, Storage & Backup, Bandwidth Management, Cloud Computing, Wireless, Virtualization, Encryption, Secure Remote Access, VoIP, and Mobility",http://www.virtualgraffiti.com/,https://www.linkedin.com/company/virtual-graffiti-inc,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=318
319,Decisive Technologies,27,https://twitter.com/Decisivetechno,,"Data Management, Consolidated Storage, Security, Storage Area Network (SAN), Virtualization and Consolidation, Disaster Recovery, Network Security, and Data Migration",http://www.decisive.ca/,https://ca.linkedin.com/company/decisive-technologies,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=319
320,PacStar,74,https://twitter.com/pacstarcomm,,"Tactical Communications Systems, LAN and WAN Technologies, IQ-Core Network Management Software, Unified Communications, Secure Networking Technologies, and Secure WiFi Technologies",http://www.pacstar.com/,https://www.linkedin.com/company/pacific-star-communications,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=320
322,"Business Communications, Inc. (BCI)",63,NA,,"Cloud Services, Data Center, Virtualization, Wireless, Security, Structured Cabling, and Unified Communications",http://www.bcianswers.com/,https://www.linkedin.com/company/business-communications-inc./,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=322
324,Arraya Solutions,86,https://twitter.com/ArrayaSolutions,,"Network Infrastructure Consulting, Application Development, Managed Services, Data Center, Cloud Services, Project Management, and Cyber Security",http://www.arrayasolutions.com/,https://www.linkedin.com/company/arraya-solutions,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=324
325,Global Business Dimensions,19,NA,,NA,http://www.globalbd.com/,https://www.linkedin.com/company-beta/82040/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=325
329,"CCT Technologies, Inc.",70,https://twitter.com/ComputerLandSV,,"Cloud, Mobility & Wireless, Unified Communications, Network Infrastructure, Virtualization, Security, Storage, IT Relocation, Managed Services, and Software Licensing",http://www.cland.com/,https://www.linkedin.com/company/cland,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=329
331,Solutions II,71,https://twitter.com/Solutionsii,,"Business Continuance and Disaster Recovery, Virtualization, Storage Optimization, Professional IT Services, Network Security, and Information Security",http://www.solutions-ii.com/,https://www.linkedin.com/company/61048,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=331
332,vCORE Technology Partners,67,https://twitter.com/vCOREtec,,"IT Infrastructure Optimization, Data Center Strategies, Managed Services, Data Analytics, Cyber-security, Hybrid Cloud, and Data Protection",http://www.vcoretec.com/,https://www.linkedin.com/company/vcore-technology-partners,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=332
333,TechXtend,18,https://twitter.com/techxtend,,"Cloud computing/virtualization, Storage and data management, Business intelligence/information management, Developer and database tools, Servers, workstations, storage, networking, printers, Business Productivity, and Software license mining & management",http://www.techxtend.com/,https://www.linkedin.com/company/techxtend,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=333
334,Daymark Solutions,50,https://twitter.com/DaymarkSI,,"IT Professional Services, IT Integration, Data Center Infrastructure, Data Protection, Virtualization, Cloud Solutions, Managed Services, EMC, NetApp, Veritas, VMWare, and Cisco",http://www.daymarksi.com/,https://www.linkedin.com/company/daymark-solutions-inc.,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=334
335,Information Transport Solutions,72,NA,,NA,http://www.its-networks.com/,https://www.linkedin.com/company-beta/144551/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=335
339,Critical Start,55,https://twitter.com/criticalstart,,"Network Security Consulting Services, Incident Response, GRC, Risk and Compliance, DLP, Threat Management, Malware, and Managed Services",http://www.criticalstart.com,https://www.linkedin.com/company/critical-start,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=339
340,BCDVideo,44,https://twitter.com/BCDVideo,,"IP Video Surveillance Servers & Storage, Harsh Environment Servers, Client Video Workstations, Commercial Grade Monitors, Direct-Attached, iSCSI, SAN Storage, Video Appliances, Access Control Servers, and Value-Engineered Networking Solutions",http://www.bcdvideo.com,https://www.linkedin.com/company/2570446/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=340
342,Achieve 1,19,https://twitter.com/Achieve1_VA,,"Data Center Design, Virtual Desktop, Data Backup/Recovery, and IT Partnering & Consulting",http://www.achieve-1.com/,https://www.linkedin.com/company/achieve-1,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=342
343,The Pinnacle Group,20,https://twitter.com/TPGTotalIT,,"IBM Premier Business Partner, HP Platinum Partner, Cisco Select Partner, and Dell Partner Direct Premier",http://www.thepinnaclegroup.com/,http://www.linkedin.com/company/the-pinnacle-group-companies,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=343
344,Möbius Partners,51,https://twitter.com/MobiusPartners,,"Data Center, Professional Services, IT, Service delivery, Virtualization, Support Management, Automation, online procurement, Networking, Cloud, Software Defined, Security, Big Data, Operational Excellence, Cloud Integration, Infrastructure Management, DevOps, Converged, Hybrid IT, and Data Center Transformation",http://www.mobiuspartners.com/,https://www.linkedin.com/company/83313,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=344
347,"M&S Technologies, A Kudelski Security Company",46,https://twitter.com/mandstech,,"Managed security services and solutions, security incident response, threat monitoring, risk assessment and compliance, penetration testing, device security evaluation, identity and access management, security compliance training, and cyber legal support.",http://www.mandstech.com/,https://www.linkedin.com/company/m&s-technologies/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=347
348,Vantage Point Corporation (VPC),73,https://twitter.com/VPCinnovations,,"Tech Hardware Products, Software Sales, and Entertainment Technology",http://www.vpcinnovations.com/,https://www.linkedin.com/company/vantage-point-corporation---buyvpc,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=348
349,Accucode,99,https://twitter.com/accucode,,"IT, AIDC, SaaS, HaaS, PaaS, Bar Code Solutions, Managed Services, LifeCycle Support, VAR, Hardware, Software, Professional Services, WMS, Mail Tracking, Retail Automation, Warehouse Management, Inventory Management, Google Apps, Network Infrastructure, and RFID",http://www.accucode.com/,https://www.linkedin.com/company/accucode,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=349
350,CorpInfo,55,https://twitter.com/CorpInfo,,"IT Consulting, Amazon Web Services, Cloud Computing, Big Data, DevOps, Managed Services, Migration Services, and Security & Compliance",http://www.corpinfo.com/,https://www.linkedin.com/company/25236/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=350
352,DZ Solutions,63,https://twitter.com/DZSolutions,,"Networking, Support, Integration, Development, Virtualization, and Storage",http://www.dzsolutions.com/,https://www.linkedin.com/company/dz-solutions/,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=352
353,Now Micro,41,https://twitter.com/nowmicro,,"Digital Signage, Hardware Sales (desktop/laptop/server/printer/etc), Microsoft Solution Support, Microsoft Embedded Design Services, Microsoft Consulting Services, System Center Configuration Manager, Technology Refresh, and Virtualization",http://www.nowmicro.com,https://www.linkedin.com/company/now-micro,http://www.crn.com/sp-500/2017/sp2017-details.htm?c=353
